task,group,prompt_id,n,pct_generic,pct_not_generic,pct_disc,pct_cap,pct_safety,pct_hedge,pct_filler,pct_deferral,pct_univ,pct_struct,distinct1,distinct2,self_bleu,mean_sem_sim
creative_tasks,imagination,ct9,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43846153846153846,0.711340206185567,0.37725841721974435,0.9333992004394531
creative_tasks,letter,ct13,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3878887070376432,0.7422003284072249,0.29144879490103043,0.7778316736221313
creative_tasks,letter,ct14,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5424528301886793,0.8720379146919431,0.16154738095480026,0.8086824417114258
creative_tasks,letter,ct39,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42616033755274263,0.809322033898305,0.23959362516642813,0.8683279752731323
creative_tasks,letter,ct40,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40302267002518893,0.7873417721518987,0.15947453189715582,0.7838420867919922
creative_tasks,letter,ct41,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4239401496259352,0.8045112781954887,0.18236709772999704,0.9112663269042969
creative_tasks,poetry,ct24,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.8975265017667845,0.10734371915751226,0.8651780486106873
creative_tasks,poetry,ct25,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7241379310344828,0.8928571428571429,0.1943676725892035,0.735648512840271
creative_tasks,poetry,ct26,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6009852216748769,0.9303482587064676,0.057527518233760955,0.7221490144729614
creative_tasks,poetry,ct3,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.8333333333333334,0.26207515533770914,0.8149117827415466
creative_tasks,poetry,ct4,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5023255813953489,0.8262910798122066,0.13128160256753207,0.7528960108757019
creative_tasks,song,ct15,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2827102803738318,0.5093896713615024,0.14033356428340268,0.8469606637954712
creative_tasks,song,ct16,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5914634146341463,0.8888888888888888,0.15664116909499431,0.8717384934425354
creative_tasks,song,ct42,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3623853211009174,0.6474654377880185,0.13235310081232887,0.8328688144683838
creative_tasks,song,ct43,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5347593582887701,0.8378378378378378,0.11934347987837675,0.9177803993225098
creative_tasks,song,ct44,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4935064935064935,0.8384279475982532,0.08663348549843439,0.7668823003768921
creative_tasks,story,ct1,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4546925566343042,0.8636363636363636,0.0899548750133772,0.7078608274459839
creative_tasks,story,ct2,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4449152542372881,0.8101983002832861,0.20879992215235837,0.9086295366287231
creative_tasks,story,ct21,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4489051094890511,0.8223443223443223,0.1825940455935208,0.6771906614303589
creative_tasks,story,ct22,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44285714285714284,0.8072916666666666,0.12451022194897227,0.854160726070404
creative_tasks,story,ct23,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.43641618497109824,0.8565217391304348,0.1309329725371663,0.6355311274528503
everyday_advice,career,ea36,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3896797153024911,0.7,0.36495726459122446,0.9342377781867981
everyday_advice,confidence,ea19,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.4307178631051753,0.7989949748743719,0.1670627300410673,0.9120029807090759
everyday_advice,confidence,ea35,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4745762711864407,0.8042553191489362,0.22062194768179047,0.9276773929595947
everyday_advice,confidence,ea50,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.4455252918287938,0.79296875,0.17057003107059138,0.9335310459136963
everyday_advice,diet,ea30,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.48872180451127817,0.8264150943396227,0.2104061901822265,0.8906282782554626
everyday_advice,energy,ea31,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44110854503464203,0.7494199535962877,0.21145229738727883,0.9300572872161865
everyday_advice,finance,ea13,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.43453237410071943,0.8037518037518038,0.2235079683120455,0.9124335646629333
everyday_advice,finance,ea16,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42830188679245285,0.7821969696969697,0.24776657519707437,0.8007302284240723
everyday_advice,finance,ea48,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.4214162348877375,0.7920277296360485,0.23499591274359677,0.9301958680152893
everyday_advice,fitness,ea24,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3546511627906977,0.5953307392996109,0.5686039656769608,0.9713163375854492
everyday_advice,focus,ea38,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.4616822429906542,0.8161350844277674,0.1724009353891781,0.8944989442825317
everyday_advice,friendships,ea14,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44377510040160645,0.8024193548387096,0.19490918501305407,0.8789455890655518
everyday_advice,friendships,ea34,2,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,100.0,0.39243027888446214,0.72,0.32663251146774885,0.9416308999061584
everyday_advice,health,ea18,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.47128378378378377,0.8271186440677966,0.19729673186979568,0.9399130940437317
everyday_advice,health,ea43,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.4066666666666667,0.7254464285714286,0.29757471682432857,0.8997869491577148
everyday_advice,health,ea49,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47368421052631576,0.8317307692307693,0.11266632015323462,0.8081491589546204
everyday_advice,money,ea37,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5769230769230769,0.8181818181818182,0.32663223180994577,0.9056758880615234
everyday_advice,money_saving,ea25,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45778611632270166,0.7909604519774012,0.2539369748882949,0.9388178586959839
everyday_advice,mood,ea47,2,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.4361904761904762,0.739961759082218,0.2775477480788119,0.9054712057113647
everyday_advice,motivation,ea28,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,50.0,0.45610278372591007,0.7978494623655914,0.22375073839132253,0.85731041431427
everyday_advice,organization,ea21,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4831168831168831,0.7806788511749347,0.277054083300792,0.9097716808319092
everyday_advice,organization,ea45,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.4322916666666667,0.8141361256544503,0.17938946322094323,0.9378306865692139
everyday_advice,planning,ea33,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.5068181818181818,0.8972602739726028,0.060353475906524914,0.8120337724685669
everyday_advice,procrastination,ea32,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43029259896729777,0.8151986183074266,0.14410800651444305,0.8499419689178467
everyday_advice,productivity,ea17,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.4491682070240296,0.8014842300556586,0.2503489263466769,0.9556689262390137
everyday_advice,productivity,ea46,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.4260355029585799,0.7623762376237624,0.254211218571903,0.9522041082382202
everyday_advice,relationships,ea44,2,100.0,0.0,0.0,0.0,0.0,50.0,100.0,0.0,0.0,0.0,0.4533898305084746,0.7914893617021277,0.20219695190629977,0.8925096988677979
everyday_advice,selfcare,ea40,2,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,100.0,0.0,0.43933823529411764,0.7638376383763837,0.2956070871825637,0.84224534034729
everyday_advice,sleep,ea15,2,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.3574144486692015,0.6183206106870229,0.6132991712299207,0.9705432653427124
everyday_advice,sleep,ea29,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.46864686468646866,0.707641196013289,0.47927881729610555,0.9687623977661133
everyday_advice,sleep,ea42,2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.37888198757763975,0.7118380062305296,0.37175024628574593,0.9553544521331787
everyday_advice,social,ea27,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4091954022988506,0.6882217090069284,0.3620660517644809,0.9399851560592651
everyday_advice,stress,ea23,2,50.0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.3961456102783726,0.7096774193548387,0.4294926948869533,0.9116774797439575
everyday_advice,study,ea22,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4817351598173516,0.8325688073394495,0.18562902431448008,0.9467973709106445
everyday_advice,study,ea39,2,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,50.0,50.0,0.5077720207253886,0.8411458333333334,0.14713219342389883,0.9334556460380554
everyday_advice,technology,ea26,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.39485981308411217,0.7136150234741784,0.3073256964928164,0.9025789499282837
everyday_advice,time_management,ea20,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.5278592375366569,0.8702064896755162,0.10043698564720206,0.9025676250457764
everyday_advice,time_management,ea41,2,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.44471153846153844,0.7971014492753623,0.21983344460742088,0.9271700382232666
general_knowledge,culture,gk16,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0000001192092896
general_knowledge,culture,gk17,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319148936170213,0.7391304347826086,0.3879740190246852,0.951934814453125
general_knowledge,culture,gk18,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5294117647058824,0.65625,0.6531441986620495,0.9621787071228027
general_knowledge,geography,gk27,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5641025641025641,0.6756756756756757,0.5839948953677392,0.9871252775192261
general_knowledge,geography,gk28,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1778279410038923,0.9999997615814209
general_knowledge,geography,gk29,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1778279410038923,1.000000238418579
general_knowledge,geography,gk7,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.5,1.0,0.9999998807907104
general_knowledge,geography,gk8,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.7333333333333333,0.46892438882117243,0.9574294686317444
general_knowledge,geography,gk9,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1778279410038923,1.0
general_knowledge,history,gk24,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46938775510204084,0.7164948453608248,0.4564160616147783,0.9462605118751526
general_knowledge,history,gk25,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.6521739130434783,0.5425075440414278,0.9557291269302368
general_knowledge,history,gk26,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4375,0.6455696202531646,0.6016516298763516,0.9646683931350708
general_knowledge,history,gk4,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.316227766016838,1.0
general_knowledge,history,gk5,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5853658536585366,0.6923076923076923,0.5043584797743309,0.972059965133667
general_knowledge,history,gk6,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5354330708661418,0.856,0.15779966669829892,0.9434831142425537
general_knowledge,nature,gk19,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6226415094339622,0.7843137254901961,0.26124534590469506,0.9636596441268921
general_knowledge,nature,gk20,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5945945945945946,0.6285714285714286,0.6387203908563603,0.9703464508056641
general_knowledge,science,gk1,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4567901234567901,0.75625,0.18667904699314136,0.9580539464950562
general_knowledge,science,gk2,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7205882352941176,0.43499914582645965,0.9350234270095825
general_knowledge,science,gk21,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5581395348837209,0.7560975609756098,0.3768608821980002,0.9354618787765503
general_knowledge,science,gk22,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4349775784753363,0.7601809954751131,0.09244396251100868,0.829343855381012
general_knowledge,science,gk23,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4085714285714286,0.7212643678160919,0.33666765384753367,0.9568676948547363
general_knowledge,science,gk3,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40625,0.7117117117117117,0.30957499302732966,0.9655710458755493
general_knowledge,space,gk13,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5584415584415584,0.7960526315789473,0.29004192905009873,0.8395645022392273
general_knowledge,space,gk14,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1778279410038923,1.0
general_knowledge,space,gk15,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9999998211860657
general_knowledge,space,gk33,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6388888888888888,0.7352941176470589,0.30489483651282506,0.9282851815223694
general_knowledge,technology,gk10,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7142857142857143,0.4593996345527458,0.9853843450546265
general_knowledge,technology,gk11,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.47794117647058826,0.7014925373134329,0.3930622538892711,0.9743105173110962
general_knowledge,technology,gk12,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5623413251903491,0.9999997019767761
general_knowledge,technology,gk30,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9999998807907104
general_knowledge,technology,gk31,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974789915966386,0.9487179487179487,0.02937711153304966,0.9269484281539917
general_knowledge,technology,gk32,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.9999998807907104
moral_reasoning,animal_rights,m16,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4596774193548387,0.7357723577235772,0.33344523937692333,0.9271136522293091
moral_reasoning,charity,m14,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.46441947565543074,0.7773584905660378,0.1950979142678625,0.9177439212799072
moral_reasoning,competition,m29,2,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.4457831325301205,0.6890243902439024,0.3906813917445371,0.9742927551269531
moral_reasoning,education,m44,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5377358490566038,0.7211538461538461,0.44266296647127046,0.9363442063331604
moral_reasoning,environment,m20,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4642857142857143,0.7516339869281046,0.14076910803864892,0.9265475273132324
moral_reasoning,environment,m41,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5497835497835498,0.8646288209606987,0.09957609815793855,0.7816075086593628
moral_reasoning,fairness,m17,2,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.48066298342541436,0.7374301675977654,0.3905146951514215,0.9827641844749451
moral_reasoning,family,m28,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.34269662921348315,0.6977401129943502,0.2489504987434763,0.9357708096504211
moral_reasoning,family,m36,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.41899441340782123,0.711864406779661,0.34754301193671194,0.9136931300163269
moral_reasoning,friendship,m27,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4419889502762431,0.7318435754189944,0.33542885469655603,0.8169488310813904
moral_reasoning,friendship,m39,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5542168674698795,0.8719512195121951,0.08512435377732916,0.9025278687477112
moral_reasoning,health,m24,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.47297297297297297,0.7954545454545454,0.20281766990571215,0.8776137828826904
moral_reasoning,health,m38,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.45195729537366547,0.7025089605734767,0.3708224980500743,0.9308407306671143
moral_reasoning,justice,m15,2,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.6521739130434783,0.9119496855345912,0.05742383702110594,0.738685131072998
moral_reasoning,justice,m33,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5724137931034483,0.8461538461538461,0.22229002738751347,0.7194476127624512
moral_reasoning,loyalty,m19,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.5289855072463768,0.8382352941176471,0.20135743855676824,0.8678666949272156
moral_reasoning,loyalty,m46,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45751633986928103,0.7152317880794702,0.4417611501143651,0.8844993710517883
moral_reasoning,money,m31,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.497737556561086,0.817351598173516,0.14063516362014256,0.8827862739562988
moral_reasoning,privacy,m13,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5277777777777778,0.6792452830188679,0.4757686918097713,0.9772741794586182
moral_reasoning,privacy,m43,2,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.6011904761904762,0.9096385542168675,0.0596077201849852,0.930450439453125
moral_reasoning,property,m26,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44666666666666666,0.7702702702702703,0.26825573385515256,0.902186393737793
moral_reasoning,responsibility,m34,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.45666666666666667,0.7449664429530202,0.2837759093535876,0.9560021162033081
moral_reasoning,revenge,m21,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4793388429752066,0.8416666666666667,0.13741861058881405,0.9074891805648804
moral_reasoning,secrets,m32,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4861878453038674,0.8324022346368715,0.15346263394541115,0.8219665288925171
moral_reasoning,society,m30,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.3712374581939799,0.6430976430976431,0.40564215210907406,0.9464479684829712
moral_reasoning,society,m40,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.4891304347826087,0.7362637362637363,0.4092813805052256,0.9670990705490112
moral_reasoning,technology,m18,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48205128205128206,0.772020725388601,0.26168465821266773,0.9323426485061646
moral_reasoning,technology,m35,2,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41509433962264153,0.6560509554140127,0.592388230306593,0.9888241291046143
moral_reasoning,truth,m22,2,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.5,0.8277777777777777,0.09494401581200212,0.8419521450996399
moral_reasoning,violence,m45,2,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.42402826855123676,0.800711743772242,0.1501573985566521,0.8962520360946655
moral_reasoning,war,m25,2,50.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.51,0.8737373737373737,0.10019106680107281,0.8376495838165283
