task,Δ_pct_generic_mean,Δ_pct_generic_ci_lo,Δ_pct_generic_ci_hi,Δ_distinct2_mean,Δ_distinct2_ci_lo,Δ_distinct2_ci_hi,Δ_self_bleu_mean,Δ_self_bleu_ci_lo,Δ_self_bleu_ci_hi,Δ_mean_sem_sim_mean,Δ_mean_sem_sim_ci_lo,Δ_mean_sem_sim_ci_hi
creative_tasks,-3.040226455344142,-5.172413793103448,0.0,0.04277169811766065,0.029026773777587323,0.056114048541861306,-0.08127889483149443,-0.10718975660501338,-0.05588064195631651,-0.06071715311254126,-0.08593797471035607,-0.0344112701000025
everyday_advice,4.102495709619003,-4.347826086956523,12.5,0.07712973065560251,0.058212011715221626,0.09559072847444484,-0.1683924670279195,-0.20810782934946898,-0.12821000987917303,-0.0180339416629496,-0.02862391726607865,-0.007270092811081461
general_knowledge,0.0,0.0,0.0,0.09958302528540049,0.07112473074398562,0.12801227265063744,-0.21858477006459395,-0.2953869576829597,-0.1440355230330787,-0.02239701228299857,-0.030477960230339142,-0.013526755384634095
moral_reasoning,2.943460726554396,-4.35276679841898,9.523809523809526,0.1060195035836821,0.08223481997944639,0.1289839871124288,-0.22570336932159155,-0.2698342737849591,-0.1778408816833681,-0.04400052398353944,-0.06026168976698004,-0.02626709883751086
rephrasing_cooking_advice,9.189186507936508,0.0,16.666666666666668,0.10868628239305778,0.07599224661923247,0.14346610503563353,-0.24948560624126503,-0.32099974633486383,-0.17519431301894514,-0.03449250638234237,-0.048951883465051686,-0.018976790564400825
rephrasing_everyday_advice,0.11584658397158404,-13.63636363636364,12.528409090908935,0.09710437421648627,0.0613619106592751,0.1320053065677197,-0.21321579075054314,-0.2804486292028657,-0.148903028658801,-0.029365985269790444,-0.046526923626661255,-0.013379270831743895
rephrasing_wakeup_advice,-22.942216810966812,-35.714285714285715,-7.142857142857146,0.11141581378239916,0.08422725015380259,0.1390832340507926,-0.24628930244317376,-0.3263245445023069,-0.16686772845767606,-0.02606358498069975,-0.038110315799713135,-0.012153074145317078
writing_help,5.077723748881837,-4.166666666666668,13.636363636363637,0.10441307137081762,0.06116590617766955,0.14207422030835576,-0.22490860618368064,-0.3021369558345561,-0.13661309436892202,-0.1029950631697721,-0.15633262315708574,-0.040117359763154656
