metric,overall_mean,ci_low,ci_high,n_prompts
pct_cap,0.0,0.0,0.0,213
pct_deferral,0.0,0.0,0.0,213
pct_disc,0.0,0.0,0.0,213
pct_filler,0.704225352112676,0.0,1.8779342723004695,213
pct_generic,29.812206572769952,24.413145539906104,35.2112676056338,213
pct_hedge,12.67605633802817,8.685446009389672,17.136150234741784,213
pct_safety,1.8779342723004695,0.4694835680751174,3.5211267605633805,213
pct_struct,6.572769953051643,3.9906103286384975,9.389671361502348,213
pct_univ,10.7981220657277,7.276995305164319,14.31924882629108,213
